Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
"pedoman penyediaan dan pemanfaatan ruang terbuka non hijau di wilayah kota/kawasan perkotaan",,,,,"Direktorat Jenderal Penataan Ruang Departemen Pekerjaan Umum",,,,,,,A1,,,Book,,,
"pedoman penyusunan rencana tata ruang wilayah kota",,,,,"Direktorat Jenderal Penataan Ruang Kementerian Pekerjaan Umum",,,,,,,,,,Publication,,,
"Pedoman Pertandingan Gasing Nasional",,,,,"Departemen Kebudayaan dan Pariwisata Direktorat Jenderal Nilai Budaya, Seni dan Film",,2009,,,,,,,,Other,,,
"Pegunungan Jawa: Rumah Burung Kita",,,,,"Burung Indonesia",,,,,,1907-6541,,Nature,,Book,,,
"Pekalongan Kota Batik. Upaya Penanggulangan Kemiskinan Dimulai dari Peningkatan Kualitas Papan & Lingkungan dengan Program Membangun Keterpaduan Program untuk Percepatan Kota Pekalongan Bebas Rumah Tidak Layak Huni Th. 2008 dan Bebas Kawasan Kumuh Th. 201","Pemerintah Kota Pekalongan",,,,,,,,,,,E2,,,Publication,,,
"Peluang dan Kebijakan Pengurangan Emisi ",,,,,"Badan Kebijakan Fiskal Departemen Keuangan",,2009,,,,,D1,,,Publication,,,"Opsi-opsi Pembangunan Rendah Karbon untuk Indonesia"
"Pembangunan Kota Indonesia dalam Abad 21",,,"Budhy Tjahjati Sugijanto Soegijoko",,"Yayasan Sugijanto Soegijoko",1,2005,,9799242924,,,F3,"Urbanism, Indonesian City",,Book,,,
"Pembangunan Sosial di Wilayah Perbatasan Kapuas Hulu, Kalimantan Barat","Henny Warsilah; Dede Wardiat",,,,"Yayasan Pustaka Obor Indonesia",,2017,,,9786024335144,,E1,,,Book,,,
"Pembangunan Sosial Sektor Informal Perkotaan: Studi atas Pedagang Kaki Lima di Pasar Minggu DKI Jakarta","Dr. Cucu Nurhayati, M.Si",,,,"Orbit Publishing",,2015,,,,,E2,,,Book,,,
"Pembangunan Sosial Sektor Informal Perkotaan. (Studi Atas Pedagang Kaki Lima di Pasar Minggu DKI Jakarta)","Dr. Cucu Nurhayati, M.Si",,,,"Orbit Publishing",,2015,,,9786029469127,,F1,,,Book,,,
"Pembangunan untuk Manusia. Ekonomi Buddhis Abad ke-21","Sulak Sivaraksa",,,,"Himpunan Mahasiswa Buddhis Indonesia (HIKMAHBUDHI)",,2009,,,9789749511770,,B2,,,Book,,,
"Pembangunan Untuk Siapa?: Dampak Proyek Reklamasi terhadap Perempuan Nelayan dan Anak di Pantai Utara Jakarta, Indonesia","Midaria Novawanty Saragih; Dedy Ramanta",,,,"Koalisi Rakyat untuk Keadilan Perikanan (KIARA)",,2009,,,9789791955928,,D1,,,Book,,,
"Pembangunan Yang Tidak Berkelanjutan: refleksi kritis pembangunan Indonesia","M. Baiquni, M.A.; Susilawardani",,,,"Transmedia Global Wacana",,2002,,979969390X,,,D1,,,Book,,,
"Pembebasan budaya-budaya kita","Agus R. Sarjono",,,,"PT Gramedia Pustaka Utama","Cet. 1",1999,,9796554798,9789796554799,,H1,Unknown,,Book,"Essays on Indonesian culture; collection of papers. - from Amzon",,
"Pemberian Penghargaan Professor Teeuw Award 2007 Indonesia Bidang Arsitektur di Erasmus Huis Jakarta",,,,,"Stichting Professor Teeuw Fonds",,2007,,,,,H2,Biography,,Publication,,,
"Pemikiran Karl Max. Dari Sosialisme Utopis ke Perselisihan Revisionisme ","Franz Magnis-Suseno",,,,"PT Gramedia Pustaka Utama",1,1999,,9796553317,,,G1,,,Book,,,
"Pemukiman. Buku Pelajaran Seni Budaya","Sutrisno Murtiyoso; Endo Suanda",,,,"Kantor Sekretariat Lembaga Pendidikan Seni Nusantara",1,2007,,9793678081,,,F1,Art,,Book,,"pemukiman, seni, budaya","Pendidikan Seni Nusantara"
"Penal Colony",,,"Manshur Zikri",,"Forum Lenteng",,2017,,,9786027130951,,B1,,,Book,,,
"Penang Houses: A Handbook of Features and Materials","Tan Yeow Wooi",,,,"Tan Yeow Wooi Culture and Heritage Research Studio",,2015,,,9789671334010,,C3,Architecture,,Book,,,
"Penang Peranakan",,,,,,,,,,,,A1,Anthropology,,Publication,,"Anthropology, History",
"Penang's Living Legacy",,,,,"George Town World Heritage Incorporated",,,,,9789761228104,,C3,Culture,,Book,,,
"Penang's Living Legacy. Heritage Traders of George Town",,,,,"George Town World Heritage Incorporated",,2014,,,9789671228104,,D2,,,Book,,,
"Penang's Living Legacy. Heritage Traders of George Town",,,,,"George Town World Heritage Incorporated",,2014,,,,,D2,,,Book,,,
"Penangkar Bekisar. Sehimpun Puisi","Kiki Sulistyo",,,,"Penerbit Nuansa Cendekia",1,2015,,,9786023500093,,K1,Literature,,Book,,,
"Pengamatan Burung Liar di Banjarharjo I: Buku Panduan dan Aktivitas",,,,,,,2015,,,,,I2,,,Book,,,
"Pengamatan Burung Liar di Banjarharjo I: Buku Panduan dan Aktivitas",,,,,,,,,,,,,Nature,,Publication,,,
"Pengantar sejarah dogma kristen : dari abad pertama sampai dengan masa kini","Bernhard Lohse",,,,"Gunung Mulia",,1999,,9794152498,,,B2,,,Book,,,
"Pengantar Sejarah Kota","Purnawan Basundoro",,,,"Penerbit Ombak",,2012,,,9786027544512,,E1,,,Book,,,
"Pengenalan dan Pengelolaan Ekosistem Mangrove","Prof. Dr. Ir. Dietrich G. Bengen, DEA",,,,"Pusat Kajian Sumberdaya Pesisir dan Lautan Institut Pertanian Bogor",,2004,,9799561779,,,G2,,,Book,,,
"Penggusuran dan Reproduksi Kemiskinan Kota: Studi Kasus di Empat Rusunawa Jakarta","Nuri Ikawati",,,,"Dompet Dhuafa",,2017,,,9786027807709,,,,,Book,,"kemiskinan, rusunawa, Jakarta",
"Pengorganisasian Rakyat & Hal-Hal yang Belum Selesai: Belajar Bersama ArkomJogja","Marsen Sinaga",,,,INSISTPress,,2017,,,9786020857381,,B1,,,Book,,,
"Penguatan Sistem Inovasi Daerah Provinsi DKI Jakarta","Tusy A. Adibroto; Harry Waluyo Sajati; Annisa Wardhani; Chrisantum Aji Paramesti",,,,"DRD Provinsi DKI Jakarta",,2014,,,9786021124239,,F2,,,Book,,,
"Penguin Book of Hindu Names","Maneka Gandhi",,,,"Penguin Books",1st,2004,,0140128417,9780140128413,,C2,Unknown,,Book,"The prodcut of several years of research, this is a comprehensive compilation of Hindu names in current use. The meaning of each of the 20,000 names in the volume is extensively discussed and information on sources and usage is also provided. The book is cross-referenced to make it easier to use. - from Amzon","Reference, Reference, History, Reference",
"Pengujian Undang-Undang dan Proses Legislasi","M. Nur Sholikin; Erni Setyowati; Rival Gulam Ahmad; Anna Christina Sinaga",,,,"Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)",,2007,,,9789799936943,,B1,Law,,Book,,,
"Penilaian Kritis Pemprov DKI Jakarta Tahun 2013-2017","Tim Studi Gerindra",,,,,,2017,,,,,F2,,,Publication,,,
"Penilaian terhadap Korupsi dengan cara Partisipatif (Participation Corruption Appraisal). Metodologi untuk Mengukur Dampak Korupsi terhadap Orang Miskin di daerah Perkotaan","Richard Holloway; Stefanie Teggemann",,,,"Partnership for Governance Reform in Indonesia",,,,,,,B2,,,Publication,,,
"Penyusunan Rencana Tata Bangunan dan Lingkungan (RTBL) Kawasan Serangan Kota Denpasar",,,,,"Kementerian Pekerjaan Umum Direktorat Jenderal Cipta Karya",,,,,,,E2,,,Publication,,,
"Peran Hutan Dalam Pengendalian Perubahan Iklim",,,,,"Dewan Nasional Perubahan Iklim",,,,,,,A1,Ecology,,Publication,,,
"Peran Serta Masyarakat dan Kelembagaan Terpadu dalam Pengelolaan Banjir di Kota Medan","Ir. H. Gindo Maraganti Hasibuan, MM",,,,,,2005,,,,,G2,,,Book,,,
"Peraturan Daerah Provinsi Daerah Khusus Ibukota Jakarta Nomor 1 Tahun 2008 Tentang Rencana Pembangunan Jangka Menengah Daerah Tahun 2007-2012",,,,,"Pemerintah Provinsi Daerah Khusus Ibukota Jakarta",,,,,,,F2,,,Publication,,,
"Peraturan Daerah Provinsi Daerah Khusus Ibukota Jakarta Nomor 3 Tahun 2012 Tentang Retribusi Daerah",,,,,"Pemerintah Provinsi Daerah Khusus Ibukota Jakarta",,,,,,,F2,,,Publication,,,
"Peraturan Daerah Provinsi Daerah Khusus Ibukota Jakarta Nomor 7 Tahun 2010 Tentang Bangunan Gedung",,,,,"Pemerintah Provinsi Daerah Khusus Ibukota Jakarta",,,,,,,F2,,,Book,,,
"Peraturan Menteri Dalam Negeri Nomor 57 Tahun 2010 Tentang Pedoman Standar Pelayanan Perkotaan",,,,,"Kementerian Dalam Negeri Direktorat Jenderal Bina Pembangunan Daerah",,2010,,,,,D1,Law,,Publication,,,
"Peraturan Menteri Pekerjaan Umum Nomor: 11/PRT/M/2014 Tentang Pengelolaan Air Hujan pada Bangunan Gedung dan Persilnya",,,,,"Kementerian Pekerjaan Umum Direktorat Jenderal Cipta Karya",,,,,,,E2,Law,,Publication,,,
"Peraturan Pemerintah Republik Indonesia Nomor 15 Tahun 2010 Tentang Penyelenggaraan Penataan Ruang",,,,,"Kementerian Pekerjaan Umum Direktorat Jenderal Penataan Ruang",,,,,,,E2,Law,,Publication,,,
"Peraturan Pemerintah Republik Indonesia Nomor 26 Tahun 2008 Tentang Rencana Tata Ruang Wilayah Nasional",,,,,"Departemen Pekerjaan Umum Direktorat Jenderal Penataan Ruang",,,,,,,E2,Law,,Publication,,,
"Peraturan Presiden Republik Indonesia Nomor 122 Tahun 2012 Tentang Reklamasi di Wilayah Pesisir dan Pulau-pulau Kecil",,,,,"Direktorat Pesisir dan Lautan Direktorat Jenderal Kelautan Pesisir dan Pulau-pulau Kecil Kementerian Kelautan dan Perikanan",,,,,,,F2,,,Publication,,,
"Peraturan Presiden Republik Indonesia Nomor 54 Tahun 2008 Tentang Penataan Ruang Kawasan Jakarta, Bogor, Depok, Tangerang, Bekasi, Puncak, Cianjur",,,,,"Departemen Pekerjaan Umum Direktorat Jenderal Penataan Ruang",,,,,,,E2,Law,,Publication,,,
"Peraturan Zonasi: Instrumen Penting Dalam Penataan Ruang",,,,,,,,,,,,F3,Urbanism,,Book,,"zonasi, tataruang",
"Perencanaan dan Pengembangan Wilayah","Ernan Rustiadi; Sunsun Saefulhakim; Dyah R. Panuju",,,,"Crestpent Press",,2009,,,9789794616871,,D2,,,Book,,,
"Perencanaan Kota Komprehensif","Melville C. Branch",,,,"Gadjah Mada University Press",,1995,,9794203378,,,D1,,,Book,,,
"Perencanaan Teknis dan Detail Desain Penataan K. Ciliwung dari Pa. Manggarai ke Hulu","PT Daya Cipta Dianrancana",,,,"Departemen Pekerjaan Umum Direktorat Jenderal Sumber Daya Air",,,,,,,G2,,,Publication,,,
"Peresmian Pelaksanaan Konservasi Gedung eks-De Javasche Bank Yogyakarta dan Pameran Karya Lomba Foto Merapi & Karya Lomba Menulis Kisah Nyata Merapi 2010",,,,,"Bank Indonesia",,2011,,,,,J3,,,Publication,,,
"Pergolakan Pemikiran dan Politik Perempuan: Esai-esai Nawal el-Saadawi","Nawal el-Saadawi",,,,Kalyanamitra,,2004,,9799626730,,,,,,Book,,,
"Perjalanan Menelusuri Sejarah: Cerita Indonesia dan India",,,,,"Amar Chitra Katha Pvt Ltd.",,,,,,,I3,,,Book,,,
"PERJALANAN MENELUSURI SEJARAH: Cerita Indonesia dan India",,,,,"Amar Chitra Katha Pvt Ltd",,,,,,,L2,Literature,,Book,,,
"Perjuangan Ibu Mie Ogura","Youhiro Cho",,,,"Penerbit Yayasan Warga Persahabatan",,2002,,9799721601,,,C1,,,Book,,,
"Perkawinan Batu","Amien Wangsitalaja; Ariffin Noor Hasby; Burhanuddin Soebely; Eza Thabry Husano; Jamal T. Suryanata; Karno Wahid; Maman S. Tawie; Micky Hidayat; Odhy's; Shanti Ned; Tarman Effendi Tarsyad; Zulfaisal Putra",,,,"Dewan Kesenian Jakarta",,2005,,9799585953,,,C2,,,Book,,,
"Perofrma Agraria yang Tertunda: Satu Dekade Krisis Agraria",,,,,"Suara Pembaruan Agraria",,2014,,,,,C1,Unknown,,Publication,,"Agrikultur, Politik, Ekonomi",
"Persekutuan Aneh","Leonard Blussé",,,,"PT Penerbit Pustazet Perkasa",1,1988,,,,,F2,History,,Book,,,
"Personality: Theory and Research","Lawrence A. Pervin",,,,"John Wiley & Sons, Inc",6th,1993,,0471571709,9780471571704,,B2,Unknown,,Book,"An in-depth, unbiased presentation of important theories of personality. Emphasizes and delineates the connection between theory and research. Provides case histories which concretely illustrate corresponding abstract concepts. Discusses each major theory while analyzing its strengths and weaknesses. Updated to present cutting-edge developments in its field and to broaden the scope of research to include important aspects of human emotion and motivation. - from Amzon","Personality, Psychology",
"Perspectives on Industrial Ecology","Dominique Bourg; Suren Erkman",,,,"Greenleaf Publishing 2003",,2003,,,,,F3,Ecology,,Book,,,
"Perspektif Baru Melebarkan Sayap",,,"Wimar Witoelar; Erna Indriana; Irene Koesoetjahjo; Tri Marganingsih",,"PT Gramedia Pustaka Utama",,2005,,9792216731,,,C1,,,Book,,,
"Pertimbangan Ekologis Penempatan Situs Masa Hindu-Buda di Daerah Yogyakarta",Mundardjito,,,,"Wedatama Widya Sastra",,2002,,9799653091,,,G2,,,Book,,,
"Pertumbuhan Penduduk dan Kesejahteraan",,,,,"LIPI Press",,2011,,,9789797996567,,C1,,,Book,,,
"Perubahan Atmosfer: Sebuah Tantangan Global","John Firor",,,,"PT Rosda Jayaputra",,1995,,9794263184,,,G2,,,Book,,,
"Perumahan Dalam Jejak Paradoks",,,,,"Laboratorium Perumahan dan Permukiman Jurusan ARSITEKTUR, FTSP - ITS Surabaya",,2016,,,,,E2,"Philosophy, History",,Book,,,
"Perwujudan Arsitektur Sosial Proyek MHT Berhasil Meningkatkan Kualitas Habitat Orang Miskin di Jakarta",Darrundono,,,,"Mahkota Media Semesta",,2012,,,,,I2,Housing,,Book,,,
"Pesta Sastra Utan Kayu 2003. Iman!",,,"Eko Endarmoko; Hasif Amini; Sitok Srengenge",,,,2003,,,,,C2,,,Book,,,
"Peter Bialobrzeski: Neon Tigers","Florian Hanig; Christof Ribbat",,,,"Hatje Cantz Publishers",1st,2004,,3775713948,9783775713948,,D1,Unknown,,Book,"Photographer Peter Bialobrzeski here merges the seven Asian cities of Bangkok, Kuala Lumpur, Hong Kong, Shanghai, Jakarta, Singapore, and Shenzhen into a virtual megatropolis. The result is a view of a world that no longer seems real but appears instead as a series of dream-images from an eccentric director or computer game designer. References to reality evoke a sense of conflict in the viewer, as appreciation for the beauty of the absurd competes with recognition of an irreversible process of change in urban living space. Two different growth models are exposed: unscrupulous, uncontrolled expansion, as in Bangkok, and controlled, yet equally unscrupulous growth in a city like Shanghai. The pictures burst with conflicting signs and symbols, mostly indecipherable to the western viewer, a semiotic overkill held in check only by the edge of the picture frame. - from Amzon","Individual Artists, Color, Individual Photographers, Foreign Language Study & Reference",
"Petrodollar. Harapan akan Kepulauan Seribu yang Lebih Lestari","Rujak Center for Urban Studies",,,,,,2012,,,9786029989830,,F2,,,Book,,,
"Philadelphia Mural Arts @ 30","Jane Golden; David Updike",,,,"Temple University Press",1,2014,,1439911312,9781439911310,,K1,Unknown,,Book,"<P>   The Mural Arts Program of Philadelphia began in 1984 as a summer youth program with modest support from city government. Under the guidance of Jane Golden, however, it gradually grew into one of the largest and most successful public art organizations in the country, garnering support from local corporations, foundations, and individuals to extend the reach and effectiveness of its innovative programs. </P><P>    </P><P>   Now three decades later, the Mural Arts Program has created more than 3,800 murals and public art projects that have made lasting imprints in every Philadelphia neighborhood. In the process, Mural Arts has engaged thousands of people of all ages from across the city, helped hundreds of ex-offenders train for new jobs, transformed the face of struggling commercial corridors, and developed funding partners in both public and private sectors. </P><P>     </P><P>   While the Mural Arts Program has significantly changed the appearance of the city, it has also demonstrated how participatory public art can empower individuals and promote communal healing around difficult issues. <I><B>Philadelphia Mural Arts @ 30</B></I> is a celebration of and guide to the program's success. Unlike <I>Philadelphia Murals and the Stories They Tell</I> and its sequel, <I>More Philadelphia Murals and the Stories They Tell</I>, <I><B>Philadelphia Murals @ 30</B></I> showcases the results of 21 projects completed since 2009 and features essays by policy makers, curators, scholars, and educators that offer valuable lessons for artists, activists, and communities to emulate.</P><P>    </P><P><I><B>Philadelphia Mural Arts @ 30</B></I> traces the program's history and evolution, acknowledging the challenges and rewards of growth and change while maintaining a core commitment to social, personal, and community transformation.  </P><P>    </P><P>   Contributors include: Dr. Arthur C. Evans, Jr., Arlene Goldbard, Thora Jacobson, Rick Lowe, Dr. Samantha L. Matlin, Paulette Moore, Jeremy Nowak, Maureen H. O'Connell, Elisabeth Perez Luna, Robin Rice, Dr. Jacob Kraemer Tebes, Elizabeth Thomas, Cynthia Weiss, Howard Zehr, and the editors.</P><div>   </div> - from Amzon","Study & Teaching, State & Local, Arts & Humanities, Education, United States",
"Picture Book. The Good & the Bad Infrastructure. Water Supply & Sanitation","Ekart Hartmann; Heinz Unger",,,,"The World Bank Office Jakarta",,2006,,,,,C1,,,Book,,,
"Pikiran & Gagasan J. Panglaykim: Prinsip-prinsip Kemajuan Ekonomi","J. Panglaykim",,,,"Penerbit Buku Kompas",,2011,,,9789797095826,,H2,,,Book,,,
"Pilihan Ekonomi yang Dihadapi Presiden Baru","Gustaf F. Papanek; Raden Pardede; Suahasil Nazara",,,,"Pusat Transformasi Kebijakan Publik",,2014,,,9786027148017,,B2,,,Book,,,
"Plan B 3.0: Mobilizing to Save Civilization","Lester R. Brown",,,,"W. W. Norton & Company","Revised and Expanded",2008,,0393330877,9780393330878,,G1,Unknown,,Book,"<p><strong>""How to build a more just world and save the planet....We should all heed Brown's advice.""―Bill Clinton<br /></strong></p> In this updated edition of the landmark Plan B, Lester Brown outlines a survival strategy for our early twenty-first-century civilization. The world faces many environmental trends of disruption and decline, including rising temperatures and spreading water shortage. In addition to these looming threats, we face the peaking of oil, annual population growth of 70 million, a widening global economic divide, and a growing list of failing states. The scale and complexity of issues facing our fast-forward world have no precedent<br /><br /> With Plan A, business as usual, we have neglected these issues overly long. In <em>Plan B 3.0</em>, Lester R. Brown warns that the only effective response now is a World War II-type mobilization like that in the United States after the attack on Pearl Harbor.<br /> - from Amzon","Environmental Economics, Pollution, Conservation, Environmentalism, Social Services & Welfare",
"Planet of Slums","Mike Davis",,,,Verso,,2006,,1844670228,9781844670222,,E1,Unknown,,Book,"According to the United Nations, more than one billion people now live in the slums of the cities of the South. In this brilliant and ambitious book, Mike Davis explores the future of a radically unequal and explosively unstable urban world. <br><br>From the sprawling <i>barricadas</i> of Lima to the garbage hills of Manila, urbanization has been disconnected from industrialization, even economic growth. Davis portrays a vast humanity warehoused in shantytowns and exiled from the formal world economy. He argues that the rise of this informal urban proletariat is a wholly original development unforeseen by either classical Marxism or neoliberal theory.<br><br>Are the great slums, as a terrified Victorian middle class once imagined, volcanoes waiting to erupt? Davis provides the first global overview of the diverse religious, ethnic, and political movements competing for the souls of the new urban poor. He surveys Hindu fundamentalism in Bombay, the Islamist resistance in Casablanca and Cairo, street gangs in Cape Town and San Salvador, Pentecostalism in Kinshasa and Rio de Janeiro, and revolutionary populism in Caracas and La Paz.<i>Planet of Slums</i> ends with a provocative meditation on the “war on terrorism” as an incipient world war between the American empire and the new slum poor. - from Amzon","Commercial Policy, Urban Planning & Development, Sociology, Commentary & Opinion, City Planning & Urban Development",
"Planning for Sustainable Asian Cities",,,,,"Asian Planning Schools Association (APSA)",,2011,,,,,D1,,,Publication,,,
"Planning Singapore: From Plan to Implementation",,,,,"Singapore Institute of Planners",,1998,,9810405731,9789810405731,,E2,Unknown,,Book,"This book attempts to revisit Singapore's urban experience since her independence three decades ago, and unfold the planning and development process behind its successful urban transformation. Topics covered by the chapters include: visionary planning; local planning; IT in planning practice; planning industrial estate development; urban conservation; recreation planning; and planning urban transportation. - from Amzon","Civil & Environmental, Urban Planning & Development, Specific Demographics, City Planning & Urban Development",
"Planning The Megacity: Jakarta in The Twentieth Century","Cristopher Silver",,,,Routledge,,2008,,,9780415701648,,E3,"Urbanism, Indonesian City",,Book,,,"Planning The Megacity"
"Playing Cities Making Sport","Andy Fuller",,,,,"1st edition",2014,,,,,D1,humanity,,Book,,"Jakarta, Sport",
"Politik Ekonomi Perumahan Rakyat & Utopia Jakarta","Abidin Kusno",,,,"Penerbit Ombak",,,,,,,F1,"Urbanism, Indonesian City",,Book,,,
"Politik Masyarakat Miskin Kota","Dr. Asrinaldi",,,,"Penerbit Gava Media",,2012,,,9786028545990,,D2,,,Book,,,
"Politik Perparkiran Jakarta: Laporan Hasil Penelitian",,,,,"Forum Warga Kota Jakarta (FAKTA)",,2006,,,9789799852526,,F2,,,Book,,,
"Pontianak Heritage","Ahmad Asma DZ",,,,"Literer Khatulistiwa",,2013,,,9786021976982,,F1,,,Book,,,
"Pontianak Masa Kolonial",Hasanuddin,,,,"Penerbit Ombak",1,2014,,,9786022582199,,F2,History,,Book,,,
"Population Trends in Indonesia","Widjojo Nitisastro",,,,"Equinox Publishing","1st Equinox Ed",2006,,9793780436,9789793780436,,H1,Unknown,,Book,"The first comprehensive demographic study of Indonesia, this book makes an important contribution to the understanding of the political and economic problems - both past and present - of the world's fourth most populous country. It demonstrates that the period 1970 to 1980 will be particularly crucial for Indonesia and will require careful social and economic planning. The author, who is acknowledged to be Indonesia's foremost economist demographer,amasses and corrects population estimates made during the era of Dutch rule, including material from as early as 1775. He discusses the census of 1930 and the impact of events of the 1940's - World War II, the Japanese occupation, and the Indonesian revolution - on population trends. He points out, for example, that low birth and high mortality rates during the subsequent period, suggest that the mean age of Indonesia's working age population is undergoing a radical rejuvenation.  Using the census of 1961 as a base, Mr. Widjojo projects Indonesia's population to 1991, forecasting the probable growth rates of the total population and of its various components. He shows how the population breaks down into extremely uneven age groups and suggests the serious consequences of this situation. He emphasizes that the dramatic increases in the number of 15-to-24-year-olds that occurred in the population during the second half of the 1960's and that are projected for the 1970's make careful preparation for the future imperative if crises in the labor market and in the field of education are to be dealt with successfully.  Population Trends in Indonesia, now brought back to life as a member of Equinox Publishing's Classic Indonesia series, serves as a model for future research and proves invaluable to economic and social planners working throughout the developing world.  Widjojo Nitisastro, former Dean of the Faculty of Economics at the University of Indonesia, was Chairman of President Suharto's Economic Team and of the National Development Planning Agency. A graduate of the University of Indonesia, Professor Widjojo received a Ph.D. degree in Economics from the University of California at Berkeley. - from Amzon","Demography, Sociology, Sociology",
"Portofolio Book",,,,,"PT. Indomegah Cipta Bangun Citra",,,,,,,F3,Design,,Publication,,,
"Post Modernism: The New Classicism in Art and Architecture","Charles Jencks",,,,"Academy Editions",1st,1987,,0856708674,9780856708671,,J3,Architecture,,Book,"Surveys post-modern architecture, shows and describes homes, museums, and office buildings, and discusses the post-modern movement in painting and sculpture - from Amzon","Architecture, History, Cultural",
"Post-Disaster Conservation Manual for Kotagede Heritage District","Dwita Hadi; Titi Handayani",,,,"Jogja Heritage Society (JHS)",,2009,,,,,D1,,,Book,,,
"Poverty of Historicism","Sir Karl Popper",,,,"Routledge & Kegan Paul PLC","2nd Revised edition",1960,,0710019653,9780710019653,,G1,Unknown,,Book,,"Epistemology, New, Used & Rental Textbooks",
"Practical Research Method",Willie,,,,Prentice-Hall,1,2002,,9814119091,,,H3,,,Book,,,
Prague,"Vladimir Soukup",,,,"DORLING KINDERSLEY",,1997,,0751300349,9780751300345,,F1,Unknown,,Book,,,
"Prague 13: New Urbanisms",,,"Richard Plunz; Modjeh Baratloo; Michael Conard",,"Columbia University",,2000,,1883584183,9781883584184,,J1,Unknown,,Book,"Text in Czech and English. - from Amzon",,
"Prajurit Jepang yang Tidak Kembali. Membaca Catatan Harian Prajurit Jepang yang Menetap di Indonesia","Hitoshi Kato",,,,"Pusat Pengkajian Jepang Press",,2008,,,9789791822305,,B2,,,Book,,,
"Preparing for 30 Million; Shaping a Sustainable Megacity",,,,,,,,,,,,F3,"Urbanism, Indonesian City",,Book,,,
"Preserving the Ifugao terraces : a literature review",,,,,"UNESCO National Commission of the Philippines",,2015,,,9789718520222,,G2,,,Book,,,
"PREVIEWS & PREMISES","Alvin Toffler",,,,Bantam,"First Edition",1985,,055324874X,9780553248746,,B1,Unknown,,Book,"Presents provocative commentary on economics, the fate of capitalism and socialism, and other issues and discusses the history of futurism, the causes of social change, and survivalism - from Amzon","Cultural, Politics & Government",
"Principles of Economics: An Asian Edition<br>(For Sale in Asia Only)","N. Gregory Mankiw; Euston Quah; Peter Wilson",,,,"Cengage Learning Asia",1st,2008,,9814227870,9789814227872,,H3,Unknown,,Book,"This is the Asian adaptation of N. Gregory Mankiw s market leading textbook Principles of Economics. While maintaining all the strengths of the original book, Professor Euston Quah and Dr. Peter Wilson have provided materials and examples that are most relevant to students in Asia. The book reflects Asian economic institutions and policy, features companies that operate in the region, and includes economic data from various Asian countries. <br><br> The text provides Asian students with a solid introduction to the principles and concepts of economics. It retains a strong international focus to enable students to place the Asian experience in a global context. Written for students taking economics for the first time, the book focuses on the core concepts and how these concepts are applied to the real world. Examples and cases throughout the text show students the relevance of the theory they are learning. - from Amzon","Subjects, New, Used & Rental Textbooks",
"Prisma: Otonomi Daerah untuk Siapa?",,,,,LP3ES,,2010,,,,03016269,E2,Law,,Journal,,,
"Private Sector Investment in Infrastructure: Project Finance, PPP Projects and PPP Frameworks","Jeffrey Delmon",,,,"Wolters Kluwer",3,2015,,9041162739,9789041162731,,H2,Unknown,,Book,"<p>Investment in infrastructure is critical to economic growth, quality of life, poverty reduction, access to education, good quality healthcare, and achieving many of the goals of a robust and dynamic economy. However, infrastructure is difficult for the public sector to get right.</p><p></p><p>This remarkably insightful and enormously useful book, now in its third edition, shows how the private sector (through public–private partnerships – PPP) can provide more efficient procurement through cheaper, faster, and better quality; refocus infrastructure services on consumer satisfaction and life cycle maintenance; place the financial burden of providing infrastructure on consumers rather than taxpayers; and provide new sources of investment, in particular through limited recourse debt (i.e., project financing). Taking the particular challenges associated with PPP fully into account. this book provides a practical guide to PPP in all the following ways and more:</p><p></p><ul><li>- how governments can enable and encourage PPP;</li><li>- how PPP financing works;</li><li>- what PPP contractual structures look like; and</li><li>- most importantly, how PPP risk allocation works in practice.</li></ul><p></p><p>Specific discussion of each infrastructure sector is provided.</p><p></p><p>Lawyers and business people, civil engineers, economic development officials and specialists, banking and insurance professionals, and academics will all find the ground well covered in this book, as well as new ground broken.</p> - from Amzon","Commercial, Foreign & International Law, Law",
"Proceeding dari Kegiatan Lokakarya & Konferensi Kreatifitas dan Kesiagaan Bencana",,,,,"Rujak Center for Urban Studies",,,,,,,G2,"Indonesian Studies",,Publication,,,
"Proceedings of Great Asian Streets Symposium: ""Public Space 2002"" 25-26 July 2002 Singapore",,,,,"Centre for Advanced Studies in Architecture (CASA) Department of Architecture School of Design and Environment National University of Singapore",,2002,,9810469039,,,I3,,,Publication,,,
"Produk Domestik Regional Bruto Kota Palopo Tahun 2005",,,,,"Badan Pusat Statistik Kota Palopo",,,,,,,E2,,,Publication,,,
"Profesi Hukum itu Asyik",,,,,,1,2017,,617221073,,,H2,,,Book,,"Alumni UI, Jusuf Kalla",
